id,identifiantCategorie
34894,20
36691,23
34582,22
35609,10
1698,22
35571,20
995,25
34093,15
1262,24
882,22
36631,15
1045,26
34954,20
36573,22
36623,10
1863,22
1071,22
36804,24
810,17
1173,22
35399,2
1634,1
36790,23
146,24
35842,22
33449,20
36456,17
36659,23
36348,22
1286,22
1897,22
776,17
35819,26
36078,1
826,22
36879,20
36568,20
1191,1
35248,23
325,20
35181,24
1466,22
34235,23
437,23
1493,22
1894,1
35751,22
1059,22
34057,22
846,22
36565,22
1765,22
35767,24
35980,23
36628,23
36513,22
36713,22
36605,24
1762,26
1333,26
1391,20
1641,23
1840,22
36711,24
34813,23
35357,22
36383,17
35712,24
1768,22
1292,15
1305,22
735,17
33022,20
33993,23
765,17
662,23
35614,22
34710,22
34283,24
35434,2
34426,22
34764,26
34768,24
1132,22
34287,24
1818,22
34678,22
35849,22
35574,26
34258,1
36745,22
36716,22
35893,10
1435,24
1388,10
34290,22
908,17
1008,22
792,17
35805,24
36837,24
36644,24
1444,24
36548,19
36677,15
1883,17
35818,24
36653,27
744,17
34121,26
1138,22
36807,22
36616,15
1236,22
1054,22
35999,22
1147,15
35492,24
33050,22
906,22
34640,17
1119,2
34967,20
33035,20
865,20
34936,20
34641,22
34948,22
561,24
1684,23
983,22
33968,24
1133,22
33313,22
33759,24
34969,20
1636,23
33464,24
1099,2
1180,22
1484,22
34136,24
994,24
1815,24
1487,17
1638,24
36511,24
36007,22
1454,22
766,17
1001,24
36570,15
35642,20
1285,22
754,17
33031,20
35390,24
36587,24
725,22
1379,23
1782,24
36070,22
544,26
36585,22
36505,15
34218,15
34142,15
36657,22
35287,23
1280,22
36578,15
35928,23
1242,15
1443,10
35797,22
36596,23
34078,22
36729,10
1901,22
35872,22
35411,22
36648,23
36672,22
33745,2
34497,1
818,17
33670,24
992,24
36652,23
489,1
112,17
1708,22
1207,15
1858,24
35432,1
36362,17
162,20
36766,10
34486,17
458,22
960,22
35847,24
36317,17
33046,23
35981,24
1385,1
1293,24
35875,24
1632,23
1781,22
35242,25
1057,22
36547,22
1406,24
435,22
35809,22
36382,24
849,20
36784,22
1483,24
36364,17
36522,22
36643,10
1835,24
34075,20
35811,22
34111,22
1442,24
1145,15
454,26
1459,22
1250,10
1174,22
36637,15
34451,22
234,28
938,20
1136,22
1890,24
35379,24
1148,15
1795,22
86,20
33561,22
34899,19
909,22
34946,20
33089,20
36431,17
34937,20
35450,23
36417,17
36455,22
1655,20
1120,2
33070,20
34074,10
36471,17
36675,22
761,24
1407,24
35796,23
1488,22
762,17
34916,20
33739,2
746,22
34770,22
950,23
36757,24
34755,24
1157,24
35862,22
33967,22
1428,23
34045,24
1073,22
33076,20
34304,10
35930,22
35873,24
1809,10
35851,17
36189,25
36719,24
1109,19
721,24
34707,17
36575,22
1843,22
36499,10
34223,22
35517,22
34461,17
36633,15
33055,20
34561,17
36597,15
34924,20
148,22
35424,22
34796,22
1675,24
33429,1
34878,20
1224,22
178,22
34771,22
1255,22
1227,10
34970,1
1098,2
36693,15
35580,28
35839,22
34417,22
931,24
901,24
1644,23
157,20
36393,17
1750,22
36440,17
34276,23
35895,24
34730,24
34288,22
36611,24
35160,1
35263,20
34342,24
1491,22
36741,24
1424,23
35353,22
1650,22
1431,22
35845,22
1016,2
1497,24
35760,24
399,24
34918,24
937,2
821,17
35804,20
33733,22
1192,15
1516,24
1339,24
1695,24
1258,20
34161,24
36717,22
36377,17
952,20
36722,24
199,28
1344,22
748,17
1810,22
1884,22
35231,20
36038,23
36434,17
1836,22
36576,15
29,24
1472,22
36527,24
36859,22
1754,26
33821,2
34965,28
33095,20
33082,20
34209,15
33043,27
34787,23
34626,20
34323,22
1253,24
1461,22
36031,22
35885,17
770,24
34592,17
35216,24
33424,24
1476,23
36321,17
856,24
36618,22
36407,17
1797,22
1761,22
33767,2
33403,24
34706,10
1506,24
35812,22
34351,22
730,17
35235,24
1172,15
34300,20
1261,22
36772,22
35803,23
36534,24
814,17
36674,15
34827,26
1364,22
34277,23
36039,20
1367,22
1499,24
36800,10
36498,22
1354,24
1504,23
36624,15
1861,22
1395,22
1062,22
36556,15
1467,23
807,17
1161,17
1498,24
35886,28
299,28
1844,17
1814,24
35983,22
1040,22
217,22
36295,17
319,28
1742,17
36300,20
34484,17
104,20
36416,17
34117,22
1114,2
36423,17
36649,22
1665,17
34698,23
36464,22
36415,17
36316,23
811,22
106,20
886,17
33881,1
36485,17
1359,24
35878,22
35794,24
36888,22
34430,22
35779,24
1578,24
34501,17
1308,15
556,24
393,24
36619,15
35343,2
837,17
36083,23
769,1
493,24
36854,24
35799,24
36638,19
35238,24
35925,17
1881,22
1820,1
33730,19
35856,22
238,22
36354,17
781,17
795,17
1158,10
1125,15
35410,26
33691,2
35146,1
35821,17
36396,17
36303,17
33397,22
1259,24
424,20
35458,22
1312,22
36540,24
36876,22
35214,22
34236,24
35673,20
127,20
35493,24
34956,20
135,20
35535,2
131,22
34909,20
978,2
33104,20
1915,22
982,28
36319,17
1676,24
939,2
34822,24
822,22
36629,24
36617,24
1198,15
36310,22
35936,24
36544,24
34068,24
549,20
35165,22
36825,22
368,23
33646,2
36689,15
35828,26
34425,24
34734,22
1416,23
35888,24
850,17
797,17
36435,17
965,2
35814,24
930,24
1274,22
35934,22
1235,24
1346,22
36890,23
727,17
1121,24
35717,22
1216,24
35265,24
1139,15
34881,28
889,23
1226,22
36492,20
809,24
117,20
34234,22
36853,22
971,2
36654,24
33652,23
35903,24
36444,20
858,17
35416,2
34783,17
977,2
36524,24
1838,23
35461,24
36805,22
34934,24
