id,publication,nombreVues,nombreJaime
34894,"2024-04-15 15:00:07",39032,3525
36691,"2024-04-15 12:00:22",108585,12768
34582,"2024-04-02 13:49:30",120385,7273
35609,"2024-04-11 22:00:13",124455,5974
1698,"2024-04-01 15:06:08",242262,8255
35571,"2024-04-09 01:08:27",329253,24959
995,"2024-03-27 14:59:19",345511,4891
34093,"2024-04-02 18:00:08",347226,44726
1262,"2024-04-01 06:31:13",414926,17125
882,"2024-03-28 13:38:11",486143,19799
36631,"2024-03-26 16:35:50",590915,45870
1045,"2024-03-30 00:19:12",593923,5595
34954,"2024-04-13 19:04:01",712268,31787
36573,"2024-03-25 10:59:40",792510,46480
36623,"2024-04-12 03:00:00",829175,48159
1863,"2024-03-31 13:46:33",856908,78033
1071,"2024-03-30 05:43:00",866695,3017
36804,"2024-04-14 14:52:04",915210,None
810,"2024-03-26 13:00:34",941432,7368
1173,"2024-03-30 16:41:20",942209,87521
35399,"2024-04-02 17:45:44",965679,45743
1634,"2024-03-28 15:00:27",1367576,96718
36790,"2024-04-10 19:00:12",1433903,96748
146,"2024-03-31 12:00:41",1448504,None
35842,"2024-04-12 17:40:55",1448596,113341
33449,"2024-04-04 08:00:43",1568576,96996
36456,"2024-04-04 00:22:20",1627502,39195
36659,"2024-03-31 10:00:29",1686561,138521
36348,"2024-04-06 02:00:15",1775019,88496
1286,"2024-03-23 22:29:11",1777782,90215
1897,"2024-03-28 19:36:21",1923678,106107
776,"2024-03-24 21:04:50",1976023,88032
35819,"2024-04-11 15:00:05",2068025,86720
36078,"2024-03-18 17:53:03",2160256,59951
826,"2024-03-21 11:33:17",2451838,136280
36879,"2024-04-09 16:33:22",2455424,199048
36568,"2024-04-04 18:55:10",3095560,181404
1191,"2024-03-22 15:00:23",3113293,146161
35248,"2024-04-07 12:00:39",3123049,214948
325,"2024-03-01 15:52:43",3564203,131464
35181,"2024-04-09 11:15:12",3594653,255456
1466,"2024-03-24 13:44:19",3631820,244210
34235,"2024-03-27 23:14:20",3881457,39327
437,"2024-03-24 18:17:57",3979432,431744
1493,"2024-03-24 23:02:06",4223314,278098
1894,"2024-03-25 10:00:29",4404390,252473
35751,"2024-04-10 13:05:19",4446061,258805
1059,"2024-03-12 08:13:11",4709324,23953
34057,"2024-03-25 03:55:17",5489120,172309
846,"2024-03-25 07:29:06",5602684,163360
36565,"2024-04-04 05:20:59",5619268,20816
1765,"2024-03-31 08:00:07",5990523,158323
35767,"2024-04-08 14:09:21",6386065,372774
35980,"2024-04-05 16:00:17",7247856,378397
36628,"2024-03-22 07:30:17",7369826,85978
36513,"2024-04-11 00:38:32",7923564,69057
36713,"2024-03-26 14:30:22",8009274,557794
36605,"2024-04-02 13:21:17",8317832,80260
1762,"2024-03-27 14:09:31",8703518,357663
1333,"2024-03-31 12:52:13",9726336,308319
1391,"2024-03-24 16:00:15",10205898,630255
1641,"2024-03-21 17:44:10",12491576,178995
1840,"2024-03-24 05:21:39",13932792,292631
36711,"2024-04-04 17:15:17",24694870,959775
34813,"2024-03-19 08:45:43",27839298,106631
35357,"2024-03-22 14:59:00",31522994,580757
36383,"2024-03-28 20:10:21",34575002,1041454
35712,"2024-03-27 08:15:29",41643246,805927
1768,"2024-03-20 02:53:30",42038513,295481
1292,"2024-04-01 13:29:00",93440,14214
1305,"2024-03-27 10:56:04",94799,1212
735,"2024-04-01 22:04:33",109319,4501
33022,"2024-04-04 15:00:30",142685,9157
33993,"2024-04-02 15:53:29",257085,7755
765,"2024-03-31 11:15:02",267084,6357
662,"2024-03-27 15:00:10",401703,32236
35614,"2024-04-05 11:07:41",425797,26621
34710,"2024-04-04 09:09:08",666756,51848
34283,"2024-04-04 13:57:44",828472,None
35434,"2024-03-24 00:41:50",845685,29178
34426,"2024-04-02 15:23:02",1002963,64984
34764,"2024-04-02 15:30:07",1030497,59626
34768,"2024-04-01 13:23:42",1149481,None
1132,"2024-03-26 12:00:13",1184768,44887
34287,"2024-04-01 12:30:08",1286794,98515
